by,descendants,id,score,time,title,type,url,text,domain
classichasclass,29,24499374,48,1600299442,"Google, nobody asked for a new Blogger interface",story,https://tenfourfox.blogspot.com/2020/08/google-nobody-asked-for-new-blogger.html,,tenfourfox.blogspot.com
jelliclesfarm,159,24492991,223,1600266364,DMT drug study investigates the ‘entities’ people meet while tripping,story,https://bigthink.com/mind-brain/dmt-beings,,bigthink.com
pseudolus,241,24491318,356,1600252864,Congressional inquiry faults Boeing and FAA failures for deadly 737 Max crashes,story,https://www.npr.org/2020/09/16/913426448/congressional-inquiry-faults-boeing-and-faa-failures-for-deadly-737-max-plane-cr,,npr.org
panabee,0,24496702,4,1600285222,"Eli Lilly reports first, promising results for an antibody against Covid-19",story,https://www.sciencemag.org/news/2020/09/eli-lilly-reports-first-promising-results-antibody-against-covid-19,,sciencemag.org
varbhat,133,24471331,401,1600097446,"Trapped in his body for 12 years, a man breaks free (2015)",story,https://www.npr.org/sections/health-shots/2015/01/09/376084137/trapped-in-his-body-for-12-years-a-man-breaks-free,,npr.org
alz,205,24480142,352,1600170555,Fasting improves chemotherapy results and protects from side effects: study,story,https://www.nature.com/articles/s41467-020-16138-3,,nature.com
pera,2,24486675,28,1600203754,World fails to meet a single target to stop destruction of nature – UN report,story,https://www.theguardian.com/environment/2020/sep/15/every-global-target-to-stem-destruction-of-nature-by-2020-missed-un-report-aoe,,theguardian.com
theafh,0,24482421,13,1600184089,‘Trained Immunity’ Offers Hope in Fight Against Coronavirus,story,https://www.quantamagazine.org/trained-immunity-offers-hope-in-fight-against-coronavirus-20200914/,,quantamagazine.org
evolve2k,2,24497601,4,1600288910,"Microsoft readies antivirus for Linux, Android",story,https://www.theregister.com/2020/06/23/microsoft_defender_atp_linux/,,theregister.com
pseudolus,13,24462567,50,1600019117,Clone of the endangered Przewalski's horse is born of DNA saved for 40 years,story,https://www.cnn.com/2020/09/12/us/cloned-przewalskis-horse-trnd/index.html,,cnn.com
d4mi3n,25,24477521,18,1600139163,Oregon’s air quality is so hazardous that no one knows what it means for health,story,https://grist.org/climate/oregons-air-quality-is-so-far-beyond-hazardous-that-no-one-knows-what-it-means-for-health/,,grist.org
squibbles,0,24488847,9,1600221849,Covid-19 virus uses heparan sulfate to get inside cells,story,https://phys.org/news/2020-09-covid-virus-heparan-sulfate-cells.html,,phys.org
Ballu,2,24489024,6,1600223881,‘Everyone was drenched in virus': was this Austrian ski resort Covid ground zero,story,https://www.theguardian.com/world/2020/sep/05/everyone-was-drenched-in-the-virus-was-this-austrian-ski-resort-a-covid-19-ground-zero,,theguardian.com
elorant,0,24471271,29,1600097175,Ab8 Covid-19 Drug Breakthrough: Antibody Component Completely Neutralizes Virus,story,https://scitechdaily.com/ab8-covid-19-drug-breakthrough-tiny-antibody-component-completely-neutralizes-the-sars-cov-2-virus/,,scitechdaily.com
